"id","z1","z2"
1,-0.111043968,-0.307391
2,-0.67858641,-3.745986
3,0.719805418,-2.749574
4,1.061272453,-1.334705
5,-0.356971844,-2.228284
6,1.529343613,-0.672436
7,-3.967538081,1.711164
8,-1.95568243,-0.999768
9,-3.806957166,0.481307
10,0.580901869,-0.751741
11,1.136762167,-0.665734
12,1.140832943,0.20955
13,0.213022702,-1.384323
14,0.432046123,-1.499594
15,0.324343397,-1.648933
16,-1.51322436,-0.76767
17,4.79559044,-0.80216
18,0.554045864,-0.58288
19,0.59837683,-2.14369
20,1.28944115,0.9439
21,2.169264367,-1.440567
22,3.736369491,-3.04406
23,-3.479563559,-1.131349
24,1.187825756,0.666574
25,-0.705113876,-0.343232
26,-0.140492996,-0.988806
27,5.164293222,-1.025021
28,-3.274648431,0.313641
29,1.014325825,0.414722
30,0.613902152,0.779762
31,-1.157126938,-1.59308
32,-3.242299404,-0.242292
33,2.818468745,0.41577
34,-2.385370193,-0.661795
35,0.22456423,-4.530952
36,-1.696711891,-1.23761
37,-4.067016296,4.545047
38,-1.615432978,-0.221595
39,-0.034433041,-0.904366
40,-3.834651653,-1.760853
41,-3.896844523,-5.408845
42,-3.864343605,-0.308961
43,1.049225839,0.562699
44,5.428505717,-0.496304
45,0.123419028,2.551097
46,0.471764975,3.329121
47,1.629693876,-1.889435
48,-1.681287392,-5.045122
49,-4.181140137,1.269051
50,-2.777606216,0.307854
51,-0.199493143,-1.3046
52,-2.639337314,-1.398957
53,1.554732826,-1.542546
54,0.288188449,-2.283198
55,0.850112213,-0.265619
56,-2.709369728,-0.664894
57,-1.980634596,-6.330393
58,-0.692223866,-0.296292
59,-3.555421039,1.931005
60,1.033616454,1.058603
61,-4.150775894,-1.817601
62,0.402937743,-1.019814
63,0.288513279,-2.087539
64,-2.578430621,-2.612417
65,0.880798743,-1.544755
66,-3.953643682,-2.709221
67,-3.725724518,0.636078
68,1.12049942,-2.085311
69,0.626829269,-1.113563
70,-0.878318811,-0.52826
71,0.456849949,-0.236803
72,-2.300822468,-0.76268
73,0.320305151,-0.33719
74,-2.734868435,-4.825475
75,1.6243339,-1.21145
76,0.76809024,-0.499202
77,-0.040827335,1.232318
78,0.63439349,-0.734659
79,0.049960375,-0.375231
80,-2.058687975,-0.702509
81,0.935642665,0.09917
