id_train,x,y,z
61117,0.351141,0.019776,3.613547
82446,0.568841,0.494377,-0.891159
757,0.360693,0.175631,3.496583
3463,0.300679,0.951812,-0.225468
74343,0.158526,0.546899,-1.729756
65993,0.119249,0.572656,-1.97746
9159,0.294423,0.068116,0.652084
36299,0.878553,0.21178,-1.440189
85369,0.637736,0.942168,-1.055853
41593,0.110796,0.004105,-0.907311
60047,0.016602,0.297459,-3.055877
77158,0.795926,0.196292,-0.92513
81969,0.755688,0.787503,0.028311
65595,0.243839,0.759762,-0.108346
58190,0.029877,0.45977,-5.322356
2677,0.941039,0.882017,-1.945091
66796,0.27071,0.515999,-0.189974
34572,0.443137,0.222812,-0.207385
42476,0.648341,0.436408,-0.900861
10506,0.162264,0.469047,-0.609298
42508,0.171984,0.798917,-0.838208
89131,0.245228,0.790692,-0.542929
82209,0.899382,0.184115,-0.750978
2869,0.775128,0.221805,-1.979186
87776,0.916396,0.827405,-1.389949
17853,0.38024,0.298878,-0.553733
84109,0.326131,0.629068,-0.433649
83039,0.768368,0.244724,-2.528192
17830,0.859205,0.91841,-1.869051
72801,0.609979,0.411551,-0.750818
6724,0.924636,0.426352,-2.584749
14829,0.894179,0.921721,-2.264388
69688,0.450111,0.775631,-0.046163
13291,0.080232,0.17821,-4.446014
13919,0.136446,0.130022,-4.310944
60073,0.567483,0.663188,1.21791
3183,0.853635,0.273198,-1.288583
16917,0.259709,0.496056,0.710395
45139,0.876265,0.650172,-1.370854
2609,0.012207,0.01738,-1.739186
27320,0.330495,0.468086,0.853026
32788,0.428412,0.891112,-0.684526
89298,0.935134,0.726955,-1.336988
2521,0.352117,0.740063,-0.816929
78744,0.589273,0.037369,-1.308102
47838,0.943999,0.993362,-1.47772
62986,0.109865,0.781231,-1.308683
42892,0.16527,0.058198,-1.10946
85304,0.629038,0.081071,-1.326354
32344,0.248432,0.805173,-0.82726
4490,0.918379,0.493233,-2.681547
22362,0.233112,0.232486,-0.390997
13426,0.357656,0.979034,-0.470146
4739,0.30219,0.319097,0.37178
48026,0.032242,0.050996,-2.822399
57437,0.112673,0.123705,-3.875318
58001,0.393637,0.396368,0.113827
41354,0.330144,0.598566,-0.734169
28608,0.550179,0.392813,-0.598027
53314,0.223636,0.059113,-0.03055
42795,0.215579,0.169757,-4.432903
59771,0.88893,0.923537,-2.295824
61673,0.692226,0.155612,-0.578469
60170,0.012955,0.084428,-0.194884
39182,0.736034,0.986786,-1.965536
24880,0.400946,0.187579,1.218051
44458,0.543816,0.28542,-0.781697
33511,0.035798,0.073747,-1.662694
63002,0.72668,0.835615,-0.182072
70724,0.535012,0.296117,-0.470095
22633,0.090486,0.875074,-1.264433
41177,0.980362,0.906722,-1.734183
61360,0.197131,0.269825,0.472238
64478,0.909453,0.944305,-2.078432
71076,0.607446,0.465064,-0.97845
34561,0.480064,0.550088,0.742958
54865,0.962585,0.123919,1.131862
38290,0.263706,0.415122,1.793242
69135,0.838804,0.500755,-1.291482
12455,0.845899,0.956313,-1.928038
11002,0.52871,0.150637,-0.056748
25015,0.048798,0.950637,-1.679899
16114,0.600778,0.312856,-0.402501
37764,0.357092,0.654002,-0.373396
77738,0.469718,0.916045,-0.519073
49895,0.168429,0.971221,-0.632433
1090,0.474205,0.380331,-0.421141
58126,0.393942,0.133898,5.31304
61537,0.108003,0.702388,-1.673349
114,0.040574,0.65771,-2.480864
19309,0.935897,0.935271,-1.93714
62869,0.3243,0.030915,2.040163
28428,0.1346,0.350927,0.465455
57270,0.564157,0.374014,-0.982274
86779,0.329397,0.286351,0.104704
50508,0.185077,0.209155,-2.790066
37956,0.668254,0.660792,1.208635
31862,0.379232,0.366842,0.1536
21999,0.285649,0.828336,-0.820727
56109,0.631601,0.964828,-1.59088
87598,0.579797,0.311025,-0.869384
59131,0.661265,0.707012,1.208528
39646,0.961715,0.318242,-4.177465
87004,0.291844,0.58468,-1.515948
53375,0.050874,0.626123,-3.697117
74763,0.418128,0.224674,-0.408563
54079,0.382544,0.805875,-0.429971
5100,0.819272,0.168902,0.352821
38758,0.021469,0.607233,-5.398167
31495,0.862394,0.183978,-0.404503
25147,0.890028,0.584771,-1.407604
36110,0.898054,0.642634,-1.53109
39447,0.306905,0.322377,-0.226764
12982,0.384512,0.317021,-0.73034
69771,0.196017,0.7552,-1.307095
29757,0.581491,0.787991,0.551811
33347,0.931746,0.960525,-1.701602
64567,0.586252,0.56672,1.104555
65994,0.740352,0.058656,-1.100243
15416,0.490837,0.093965,1.99778
86820,0.267567,0.138323,0.321959
84184,0.125124,0.192905,-6.787415
61367,0.950011,0.671336,-1.230949
83526,0.815854,0.763912,-0.642815
89743,0.806226,0.957137,-2.105651
33550,0.829313,0.256092,-1.761947
59770,0.831739,0.279973,-1.295347
79799,0.180529,0.414633,2.44541
75870,0.724758,0.869963,-0.854584
4750,0.814755,0.26862,-2.124294
39518,0.594034,0.074662,-0.942452
4427,0.415061,0.783017,-0.130805
56380,0.34844,0.625818,-0.298142
18094,0.035355,0.680095,-2.207435
76867,0.184192,0.452705,1.016845
1808,0.063462,0.131609,-3.324148
23678,0.115373,0.928344,-0.97992
76669,0.52459,0.406577,-0.884795
56272,0.490135,0.704662,0.720292
79968,0.495857,0.964172,-0.811067
63910,0.165072,0.989731,-0.366459
34688,0.230777,0.095521,-2.051366
20075,0.55375,0.955459,-0.729412
35301,0.704906,0.106081,-0.229616
24733,0.30634,0.679469,-1.206074
2406,0.118914,0.553002,-1.849484
49348,0.802152,0.156741,0.874963
2050,0.600031,0.171206,-0.139316
77840,0.244785,0.285191,0.597642
8366,0.668345,0.677195,1.291576
5045,0.373739,0.001648,3.906734
25033,0.802258,0.38912,-1.29462
45356,0.244617,0.831571,-0.435202
69935,0.076936,0.803098,-1.253311
63124,0.812833,0.4309,-1.480915
23849,0.702037,0.436851,-1.32797
54969,0.657481,0.954086,-1.447191
9018,0.386358,0.018219,2.513715
67603,0.992676,0.680491,-1.183898
30808,0.657115,0.572824,0.542339
30747,0.837125,0.642191,-0.404904
66256,0.581979,0.751705,0.255151
5383,0.3505,0.012207,3.930721
56076,0.614389,0.940826,-0.878308
26657,0.493919,0.575326,0.829469
77880,0.210178,0.344625,2.51303
68212,0.607202,0.21297,-1.055962
12620,0.316487,0.633112,-0.294391
35800,0.934874,0.397864,-2.952265
89917,0.886015,0.999252,-1.922873
66282,0.882795,0.179416,-0.069065
276,0.256123,0.071519,-0.167928
79435,0.169253,0.992828,-0.360163
66735,0.183413,0.57464,-1.098312
81631,0.182437,0.300862,0.321239
7399,0.824506,0.269398,-1.607625
82764,0.887602,0.1617,-0.483732
52859,0.761883,0.305028,-1.555474
52672,0.458747,0.278386,0.047432
29998,0.252888,0.475792,0.931536
12140,0.770108,0.455253,-1.161187
39349,0.506569,0.570214,0.767256
47253,0.491096,0.619532,0.894695
56151,0.623758,0.964691,-1.431563
76926,0.004089,0.733562,-1.806169
59968,0.442329,0.149752,2.822907
61692,0.950271,0.76614,-1.316495
88565,0.73431,0.78761,0.435466
44413,0.941482,0.643,-1.624602
4663,0.405066,0.051789,4.777809
5872,0.612589,0.140627,0.596931
49611,0.06688,0.91722,-1.901247
47571,0.482109,0.269291,0.093605
63487,0.679011,0.379828,-0.912017
63655,0.248875,0.874983,-0.698158
19462,0.272496,0.769177,-0.234031
50445,0.162463,0.358526,0.793915
54646,0.511421,0.204654,-0.787364
81606,0.735882,0.210636,-0.866691
75533,0.42681,0.189792,0.677525
58367,0.554864,0.314061,-0.345274
85913,0.556786,0.934752,-0.787621
11457,0.68333,0.772549,0.679464
28674,0.38645,0.872251,-0.641471
15434,0.686519,0.094087,-0.228791
17232,0.682063,0.003891,-0.561912
61143,0.691798,0.786496,0.424499
48440,0.445365,0.556649,-0.003585
13303,0.868269,0.42797,-1.751326
17591,0.269657,0.291112,0.152742
83273,0.817487,0.062409,-0.010486
40945,0.448844,0.061906,3.927971
30815,0.126726,0.111376,-2.975745
57109,0.405295,0.013947,3.209668
34534,0.428031,0.863371,-0.42769
39764,0.964706,0.37319,-4.010156
37770,0.544137,0.806943,0.175469
84351,0.986465,0.024659,1.602096
55968,0.604791,0.480735,-0.678929
18549,0.216266,0.711559,-0.91963
54309,0.144732,0.988846,-0.84206
18758,0.606821,0.578454,1.238395
41520,0.874342,0.457939,-1.482957
5305,0.197559,0.901274,-1.071452
1622,0.197467,0.603433,-1.705491
7775,0.939452,0.698543,-1.293584
83605,0.213535,0.247898,0.441758
83533,0.438926,0.978317,-0.852878
5900,0.221988,0.219684,-2.03067
22145,0.033555,0.134447,-2.365028
24669,0.310475,0.653651,-1.087991
79582,0.306523,0.069795,0.660112
68751,0.030625,0.802625,-2.225227
7824,0.302052,0.045106,1.418018
282,0.205692,0.844739,-0.510376
35763,0.308324,0.882353,-0.544013
